Date,compound,neg,neu,pos
2020-03-14,0.1987599999999999,0.0663,0.8549999999999999,0.0789
2020-03-15,0.7206874999999999,0.04225,0.8728750000000001,0.085
2020-03-16,0.24826666666666672,0.06341666666666666,0.8488333333333333,0.08800000000000001
2020-03-17,0.12749230769230768,0.060153846153846155,0.8678461538461538,0.07215384615384615
2020-03-18,0.06482500000000002,0.06862499999999999,0.855,0.076125
2020-03-19,0.3441846153846154,0.04807692307692308,0.8742307692307693,0.0776923076923077
2020-03-20,0.7176583333333332,0.04816666666666667,0.8775,0.07441666666666666
2020-03-21,0.08696363636363637,0.06036363636363637,0.8687272727272727,0.07081818181818184
2020-03-22,0.45089999999999997,0.06422222222222224,0.8588888888888888,0.07677777777777778
2020-03-23,0.39064000000000004,0.05070000000000001,0.8719999999999999,0.07709999999999999
