Date,compound,neg,neu,pos
2019-03-19,0.7084142857142860,0.023285714285714300,0.9265714285714290,0.050428571428571400
2019-03-20,0.9349000000000000,0.017600000000000000,0.906,0.0764
2019-03-21,0.46095000000000000,0.020166666666666700,0.9335,0.04616666666666670
2019-03-22,0.36260000000000000,0.03614285714285710,0.9012857142857140,0.062285714285714300
2019-03-23,0.86205,0.006,0.952,0.042
2019-03-24,0.7167714285714290,0.02342857142857140,0.9185714285714290,0.05757142857142860
2019-03-25,0.6412222222222220,0.02933333333333330,0.9081111111111110,0.06244444444444450
2019-03-26,0.2886333333333330,0.034,0.9045555555555560,0.06133333333333330
2019-03-27,0.6764363636363640,0.02581818181818180,0.9070909090909090,0.0670909090909091
2019-03-28,0.9473333333333330,0.016666666666666700,0.8986666666666670,0.08466666666666670
2019-03-29,0.4082454545454550,0.04727272727272730,0.8850909090909090,0.06763636363636360
